,n_tweets,lag_1,roll_sum_3,roll_sum_7,momentum,last_burst,dow,is_weekend,cv_7,is_high_regime,is_regime_change,regime_intensity,spacex_launch_proximity,tesla_volatility_garch,event_magnitude,reply_momentum,news_sentiment_spike
2025-01-01 00:00:00+00:00,37,0.0,0.0,0.0,0.0,0,2,0,0.0,0,0,0.0,0,0.02,0,0,0
2025-01-02 00:00:00+00:00,98,37.0,0.0,0.0,0.0,0,3,0,0.0,0,0,0.7071067811865476,1,0.02,0,0,0
2025-01-03 00:00:00+00:00,112,98.0,247.0,0.0,0.0,0,4,0,0.0,0,0,0.7439173214853226,2,3.9726546126924407,0,0,0
2025-01-04 00:00:00+00:00,45,112.0,255.0,0.0,0.0,0,5,1,0.0,0,0,-0.7460259121629433,3,3.9726546126924407,0,0,0
2025-01-05 00:00:00+00:00,82,45.0,239.0,0.0,0.0,0,6,1,0.0,0,0,0.219833237642805,2,3.9726546126924407,0,0,0
2025-01-06 00:00:00+00:00,88,82.0,215.0,0.0,0.0,0,0,0,0.0,0,0,0.3693022202027883,1,4.235678433322458,0,0,0
2025-01-07 00:00:00+00:00,110,88.0,280.0,572.0,0.0,0,1,0,0.0,0,0,0.9455374632072681,0,4.126457705488949,0,0,0
2025-01-08 00:00:00+00:00,171,110.0,369.0,706.0,134.0,1,2,0,0.3660921535352926,1,1,1.8603544693710135,1,4.12244710468084,0,0,0
2025-01-09 00:00:00+00:00,90,171.0,371.0,698.0,-8.0,0,3,0,0.37921650262200635,0,1,-0.0650365914554191,2,4.12244710468084,0,0,0
2025-01-10 00:00:00+00:00,65,90.0,326.0,651.0,-47.0,0,4,0,0.385754130941175,0,0,-0.651639531477109,3,4.020497746637669,0,0,0
2025-01-11 00:00:00+00:00,50,65.0,205.0,656.0,5.0,0,5,1,0.4304658006022202,0,0,-0.9509803746148815,2,4.020497746637669,0,0,0
2025-01-12 00:00:00+00:00,53,50.0,168.0,627.0,-29.0,0,6,1,0.4168745143896074,0,0,-0.8106875897062495,1,4.020497746637669,0,0,0
2025-01-13 00:00:00+00:00,53,53.0,156.0,592.0,-35.0,0,0,0,0.468316895823506,0,0,-0.7609014664658201,0,3.925482259816576,0,0,0
2025-01-14 00:00:00+00:00,35,53.0,141.0,517.0,-75.0,0,1,0,0.5225431515809802,0,1,-1.1400451601854689,1,3.8595433614756245,0,0,0
2025-01-15 00:00:00+00:00,85,35.0,173.0,431.0,-86.0,0,2,0,0.6235314010147844,0,1,0.18593896541676833,2,3.796179032344704,0,0,0
2025-01-16 00:00:00+00:00,82,85.0,202.0,423.0,-8.0,0,3,0,0.32181512560246167,0,0,0.10000816426502565,3,4.069963048361218,0,0,0
2025-01-17 00:00:00+00:00,50,82.0,217.0,408.0,-15.0,0,4,0,0.2987684620492555,0,0,-0.7756128425527478,2,4.041086876509804,0,0,0
2025-01-18 00:00:00+00:00,37,50.0,169.0,395.0,-13.0,0,5,1,0.31413372132543577,0,1,-1.0795580195209813,1,4.041086876509804,0,0,0
2025-01-19 00:00:00+00:00,26,37.0,113.0,368.0,-27.0,0,6,1,0.35233558168520945,0,0,-1.2919022044488813,0,4.041086876509804,0,0,0
2025-01-20 00:00:00+00:00,36,26.0,99.0,351.0,-17.0,0,0,0,0.4380313408610844,0,1,-0.9615215820433343,1,4.041086876509804,0,0,0
2025-01-21 00:00:00+00:00,69,36.0,131.0,385.0,34.0,0,1,0,0.4757749457583612,0,0,-0.03428814330463703,2,3.9913225529951273,0,0,0
2025-01-22 00:00:00+00:00,34,69.0,139.0,334.0,-51.0,0,2,0,0.4312835605977502,0,0,-0.9941012154051788,3,3.9011126065844874,0,0,0
2025-01-23 00:00:00+00:00,73,34.0,176.0,325.0,-9.0,1,3,0,0.43167451059343687,0,0,0.1254518769408622,2,3.8442136689486217,0,0,0
2025-01-24 00:00:00+00:00,61,73.0,168.0,336.0,11.0,0,4,0,0.39301193702354376,0,0,-0.22302302046220376,1,3.7647652640601255,0,0,0
2025-01-25 00:00:00+00:00,23,61.0,157.0,322.0,-14.0,0,5,1,0.397110512652661,0,1,-1.290001051838253,0,3.7647652640601255,0,0,0
2025-01-26 00:00:00+00:00,22,23.0,106.0,318.0,-4.0,0,6,1,0.45738358950897096,0,0,-1.2520609157662843,1,3.7647652640601255,0,0,0
2025-01-27 00:00:00+00:00,18,22.0,63.0,300.0,-18.0,0,0,0,0.47804258757015305,0,0,-1.298219124351407,2,3.701713337469987,0,0,0
2025-01-28 00:00:00+00:00,35,18.0,75.0,266.0,-34.0,0,1,0,0.5592587687022621,0,1,-0.7858613554910784,3,3.665952560433706,0,0,0
2025-01-29 00:00:00+00:00,80,35.0,133.0,312.0,46.0,1,2,0,0.5540916385036404,0,0,0.47535821160655384,2,3.5946531485057758,0,0,0
2025-01-30 00:00:00+00:00,41,80.0,156.0,280.0,-32.0,0,3,0,0.5868973961291436,0,0,-0.6087204465990199,1,3.5655668034054226,0,0,0
2025-01-31 00:00:00+00:00,80,41.0,201.0,299.0,19.0,1,4,0,0.5740934883216611,0,0,0.5969077003247013,0,3.5473626343672864,0,0,0
2025-02-01 00:00:00+00:00,87,80.0,208.0,363.0,64.0,1,5,1,0.6246515193484308,0,0,0.760022375388102,1,3.5473626343672864,0,0,0
2025-02-02 00:00:00+00:00,78,87.0,245.0,419.0,56.0,1,6,1,0.570901884338529,0,0,0.4919761370840016,2,3.5473626343672864,0,0,0
2025-02-03 00:00:00+00:00,126,78.0,291.0,527.0,108.0,1,0,0,0.4627241218396305,1,1,1.8111064395728482,3,3.4896309394854588,0,0,0
2025-02-04 00:00:00+00:00,120,126.0,324.0,612.0,85.0,1,1,0,0.40432153834437073,1,0,1.6024432341707315,2,3.611772794699923,0,0,0
2025-02-05 00:00:00+00:00,97,120.0,343.0,629.0,17.0,0,2,0,0.32698932271999687,1,0,1.2396225594176598,1,3.5705330828257242,0,0,0
2025-02-06 00:00:00+00:00,54,97.0,271.0,642.0,13.0,0,3,0,0.31799416930545726,0,1,-0.1976003808753329,0,3.5944812573469775,0,0,0
2025-02-07 00:00:00+00:00,119,54.0,270.0,681.0,39.0,0,4,0,0.27343584966084866,1,1,1.8720495060564235,1,3.537166913550868,0,0,0
2025-02-08 00:00:00+00:00,84,119.0,257.0,678.0,-3.0,0,5,1,0.27077019767700833,0,1,0.6871218279316372,2,3.537166913550868,0,0,0
2025-02-09 00:00:00+00:00,139,84.0,342.0,739.0,61.0,0,6,1,0.2742265669101609,1,1,2.152176795823236,3,3.537166913550868,0,0,0
2025-02-10 00:00:00+00:00,173,139.0,396.0,786.0,47.0,1,0,0,0.2767487387417169,1,0,2.608357066803084,2,3.555691892736808,0,0,0
2025-02-11 00:00:00+00:00,140,173.0,452.0,806.0,20.0,0,1,0,0.3436826137196455,1,0,1.6150460668186464,1,3.556391175647111,0,0,0
2025-02-12 00:00:00+00:00,114,140.0,427.0,823.0,17.0,0,2,0,0.3471566596627689,0,1,0.9395515182705421,0,3.7538616926493282,0,0,0
2025-02-13 00:00:00+00:00,132,114.0,386.0,901.0,78.0,0,3,0,0.3333758997854592,1,1,1.2871755502499567,1,3.707383529354491,0,0,0
2025-02-14 00:00:00+00:00,49,132.0,295.0,831.0,-70.0,0,4,0,0.21313124024115715,0,1,-0.6440677146626251,2,3.820697344047127,0,0,0
2025-02-15 00:00:00+00:00,92,49.0,273.0,839.0,8.0,0,5,1,0.3451859856364798,0,0,0.31542715411019356,3,3.820697344047127,0,0,0
2025-02-16 00:00:00+00:00,14,92.0,155.0,714.0,-125.0,0,6,1,0.3332933169714698,0,1,-1.4949176881193487,2,3.820697344047127,0,0,0
2025-02-17 00:00:00+00:00,126,14.0,232.0,667.0,-47.0,0,0,0,0.5396908185938355,1,1,1.0354269495494641,1,3.820697344047127,0,0,0
2025-02-18 00:00:00+00:00,99,126.0,239.0,626.0,-41.0,0,1,0,0.4959890959642044,0,1,0.38284005340368993,0,3.7389766732318788,0,0,0
2025-02-19 00:00:00+00:00,116,99.0,341.0,628.0,2.0,0,2,0,0.48259823221255665,0,0,0.7199620189021374,1,3.665257041867233,0,0,0
2025-02-20 00:00:00+00:00,103,116.0,318.0,599.0,-29.0,0,3,0,0.48324549450538595,0,0,0.3880910861095798,2,3.6107539769375308,0,0,0
2025-02-21 00:00:00+00:00,111,103.0,330.0,661.0,62.0,0,4,0,0.46612222201361264,0,0,0.5350192587809961,3,3.565562063297911,0,0,0
2025-02-22 00:00:00+00:00,140,111.0,354.0,709.0,48.0,0,5,1,0.39401200016295873,1,1,1.1443539639407994,2,3.565562063297911,0,0,0
2025-02-23 00:00:00+00:00,90,140.0,341.0,785.0,76.0,0,6,1,0.40402072473557965,0,1,-0.12485480661601925,1,3.565562063297911,0,0,0
2025-02-24 00:00:00+00:00,132,90.0,362.0,791.0,6.0,0,0,0,0.15145491458887453,0,0,0.8989337522967967,0,3.648578263812769,0,0,0
2025-02-25 00:00:00+00:00,176,132.0,398.0,868.0,77.0,1,1,0,0.1586351582271242,1,1,1.929443238390483,1,3.6120647960487817,0,0,0
2025-02-26 00:00:00+00:00,60,176.0,368.0,812.0,-56.0,0,2,0,0.22937842989238555,0,1,-1.1397452355535627,2,3.9792957101874946,0,0,0
2025-02-27 00:00:00+00:00,73,60.0,309.0,782.0,-30.0,0,3,0,0.32328544047112684,0,1,-0.8613668265046956,3,3.9837380945015943,0,0,0
2025-02-28 00:00:00+00:00,103,73.0,236.0,774.0,-8.0,0,4,0,0.36524643416274544,0,0,-0.06219921430972024,2,3.9497743362487783,0,0,0
2025-03-01 00:00:00+00:00,30,103.0,206.0,664.0,-110.0,0,5,1,0.37024390405395974,0,1,-1.8893420460974533,1,3.9497743362487783,0,0,0
2025-03-02 00:00:00+00:00,106,30.0,239.0,680.0,16.0,0,6,1,0.5083770179541891,0,1,0.0464588907088163,0,3.9497743362487783,0,0,0
2025-03-03 00:00:00+00:00,93,106.0,229.0,641.0,-39.0,0,0,0,0.4975524002589681,0,0,-0.262377338180487,1,3.938985172590742,0,0,0
2025-03-04 00:00:00+00:00,107,93.0,306.0,572.0,-69.0,0,1,0,0.5004713255752655,0,0,0.11619191855745369,2,3.901492549073569,0,0,0
2025-03-05 00:00:00+00:00,49,107.0,249.0,561.0,-11.0,0,2,0,0.35438231581394,0,1,-1.3151406624250799,3,3.9361103985292942,0,0,0
2025-03-06 00:00:00+00:00,74,49.0,230.0,562.0,1.0,0,3,0,0.3816379444030693,0,1,-0.7119715927612,2,3.8801809024592084,0,0,0
2025-03-07 00:00:00+00:00,59,74.0,182.0,518.0,-44.0,0,4,0,0.3805028848014368,0,1,-1.026630947611359,1,3.9858564235309704,0,0,0
2025-03-08 00:00:00+00:00,47,59.0,180.0,535.0,17.0,0,5,1,0.4001156394811255,0,0,-1.2612509270406982,0,3.9858564235309704,0,0,0
2025-03-09 00:00:00+00:00,90,47.0,196.0,519.0,-16.0,0,6,1,0.3383246415023875,0,1,-0.15996798432522805,1,3.9858564235309704,0,0,0
2025-03-10 00:00:00+00:00,72,90.0,209.0,498.0,-21.0,0,0,0,0.31558278209586255,0,0,-0.5605663187213785,2,3.894105764169818,0,0,0
2025-03-11 00:00:00+00:00,91,72.0,253.0,482.0,-16.0,0,1,0,0.30746724969115086,0,0,0.0,3,5.034755997939222,0,0,0
2025-03-12 00:00:00+00:00,71,91.0,234.0,504.0,22.0,0,2,0,0.26133393675921446,0,0,-0.5166536519783448,2,4.936471856643043,0,0,0
2025-03-13 00:00:00+00:00,75,71.0,237.0,505.0,1.0,0,3,0,0.2184282613349161,0,0,-0.3567569539229807,1,5.034361881448547,0,0,0
2025-03-14 00:00:00+00:00,45,75.0,191.0,491.0,-14.0,0,4,0,0.21835218949888086,0,1,-1.207858111327563,0,4.922079931900529,0,0,0
2025-03-15 00:00:00+00:00,61,45.0,181.0,505.0,14.0,0,5,1,0.26190157907127554,0,1,-0.7124097589937796,1,4.922079931900529,0,0,0
2025-03-16 00:00:00+00:00,55,61.0,161.0,470.0,-35.0,0,6,1,0.22242069799969214,0,0,-0.9887500316533875,2,4.922079931900529,0,0,0
2025-03-17 00:00:00+00:00,30,55.0,146.0,428.0,-42.0,0,0,0,0.2229783173619825,0,1,-1.6012542085410137,3,4.834047100876635,0,0,0
2025-03-18 00:00:00+00:00,59,30.0,144.0,396.0,-32.0,0,1,0,0.33041546882992623,0,1,-0.6984761675528711,2,4.803806065461452,0,0,0
2025-03-19 00:00:00+00:00,69,59.0,158.0,394.0,-2.0,0,2,0,0.27152825971444605,0,0,-0.36130037683643623,1,4.80275445632059,0,0,0
2025-03-20 00:00:00+00:00,116,69.0,244.0,435.0,41.0,1,3,0,0.2676231161974963,1,1,1.0152291710811432,0,4.7548536977007885,0,0,0
2025-03-21 00:00:00+00:00,33,116.0,218.0,423.0,-12.0,0,4,0,0.4326340689728116,0,1,-1.3232170660771931,1,4.61358903753606,0,0,0
2025-03-22 00:00:00+00:00,82,33.0,231.0,444.0,21.0,0,5,1,0.4715447918291046,0,1,0.1627773641861186,2,4.61358903753606,0,0,0
2025-03-23 00:00:00+00:00,71,82.0,186.0,460.0,16.0,0,6,1,0.46740972414853243,0,0,-0.15550712520687263,3,4.61358903753606,0,0,0
2025-03-24 00:00:00+00:00,59,71.0,212.0,489.0,29.0,0,0,0,0.44899593928805714,0,0,-0.47152998876385627,2,4.608175316349555,0,0,0
2025-03-25 00:00:00+00:00,85,59.0,215.0,515.0,26.0,0,1,0,0.3636882703819943,0,0,0.6374170470355968,1,5.118361526111155,0,0,0
2025-03-26 00:00:00+00:00,54,85.0,198.0,500.0,-15.0,0,2,0,0.34598905136642893,0,0,-0.6829081450051157,0,5.005241824051633,0,0,0
2025-03-27 00:00:00+00:00,66,54.0,205.0,450.0,-50.0,0,3,0,0.3711854882220839,0,0,-0.1588613375163036,1,4.999170216748552,0,0,0
2025-03-28 00:00:00+00:00,75,66.0,195.0,492.0,42.0,0,4,0,0.2770627835134676,0,0,0.27953933220160637,2,4.843658057133948,0,0,0
2025-03-29 00:00:00+00:00,57,75.0,198.0,467.0,-25.0,0,5,1,0.16299072685856816,0,0,-0.5948866676362616,3,4.843658057133948,0,0,0
2025-03-30 00:00:00+00:00,55,57.0,187.0,451.0,-16.0,0,6,1,0.1661749337690569,0,0,-0.6350427871225454,2,4.843658057133948,0,0,0
2025-03-31 00:00:00+00:00,53,55.0,165.0,445.0,-6.0,0,0,0,0.1814166423962384,0,0,-0.6777697418113807,1,4.761042099830734,0,0,0
2025-04-01 00:00:00+00:00,67,53.0,175.0,427.0,-18.0,0,1,0,0.194331140100585,0,0,0.11018297404673866,0,4.635737493362904,0,0,0
2025-04-02 00:00:00+00:00,36,67.0,156.0,409.0,-18.0,0,2,0,0.1374835587476416,0,1,-1.5232873629381654,1,4.558989658053872,0,0,0
2025-04-03 00:00:00+00:00,33,36.0,136.0,376.0,-33.0,0,3,0,0.21555217082287823,0,0,-1.5381514510699528,2,4.561198546640553,0,0,0
2025-04-04 00:00:00+00:00,32,33.0,101.0,333.0,-43.0,0,4,0,0.2828958911990085,0,0,-1.4754229283351887,3,4.589452270945749,0,0,0
2025-04-05 00:00:00+00:00,24,32.0,89.0,300.0,-33.0,0,5,1,0.28971846617448477,0,0,-1.7365190170419085,2,4.589452270945749,0,0,0
2025-04-06 00:00:00+00:00,14,24.0,70.0,259.0,-41.0,0,6,1,0.3628386030342594,0,0,-1.982105027468379,1,4.589452270945749,0,0,0
2025-04-07 00:00:00+00:00,22,14.0,60.0,228.0,-31.0,0,0,0,0.48044294147651995,0,0,-1.4897670545312627,0,4.988105387744935,0,0,0
2025-04-08 00:00:00+00:00,29,22.0,65.0,190.0,-38.0,0,1,0,0.5209829732711964,0,0,-1.1156408037275807,1,4.867528172639532,0,0,0
2025-04-09 00:00:00+00:00,26,29.0,77.0,180.0,-10.0,0,2,0,0.2809264451596383,0,0,-1.1572286016876576,2,4.83968646487455,0,0,0
2025-04-10 00:00:00+00:00,25,26.0,80.0,172.0,-8.0,0,3,0,0.2547289368637263,0,0,-1.1156531503375233,3,6.680699376805317,0,0,0
2025-04-11 00:00:00+00:00,44,25.0,95.0,184.0,12.0,1,4,0,0.2324369839447302,0,1,-0.304271110781974,2,6.621785379565882,0,0,0
2025-04-12 00:00:00+00:00,27,44.0,96.0,187.0,3.0,0,5,1,0.3463936764434782,0,0,-0.9624425863457258,1,6.621785379565882,0,0,0
2025-04-13 00:00:00+00:00,28,27.0,99.0,201.0,14.0,0,6,1,0.33877473135699937,0,0,-0.8679222214807379,0,6.621785379565882,0,0,0
2025-04-14 00:00:00+00:00,18,28.0,73.0,197.0,-4.0,0,0,0,0.2476592729284369,0,1,-1.2409989343503718,1,6.376565825407218,0,0,0
2025-04-15 00:00:00+00:00,29,18.0,75.0,197.0,0.0,0,1,0,0.27935697075351046,0,1,-0.7449565431904718,2,6.144292192398728,0,0,0
2025-04-16 00:00:00+00:00,21,29.0,68.0,192.0,-5.0,0,2,0,0.27935697075351046,0,0,-0.9939468104869658,3,5.925418948701673,0,0,0
2025-04-17 00:00:00+00:00,17,21.0,67.0,184.0,-8.0,0,3,0,0.30274114202413505,0,1,-1.1821739277582362,2,5.818665842167179,0,0,0
2025-04-18 00:00:00+00:00,20,17.0,58.0,160.0,-24.0,0,4,0,0.3498581943354638,0,0,-1.003440505457478,1,5.818665842167179,0,0,0
2025-04-19 00:00:00+00:00,26,20.0,63.0,159.0,-1.0,0,5,1,0.21937410968481547,0,1,-0.6750739274325213,0,5.818665842167179,0,0,0
2025-04-20 00:00:00+00:00,18,26.0,64.0,149.0,-10.0,0,6,1,0.21524998353199615,0,1,-1.002301530005996,1,5.818665842167179,0,0,0
2025-04-21 00:00:00+00:00,20,18.0,64.0,151.0,2.0,0,0,0,0.21308064250186137,0,1,-0.838293084789038,2,5.616760867657091,0,0,0
2025-04-22 00:00:00+00:00,45,20.0,83.0,167.0,16.0,1,1,0,0.20181478583912185,0,0,0.5761794290767033,3,5.5680240761422395,0,0,0
